                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.47968,                 0.3321,                0.87262,                0.97474,                0.98538,                0.99192,                0.86208,                 0.5103,                0.33372,                0.87411,               0.004159,               0.004159,               0.004159
                     61,                0.48591,                0.34248,                 0.8736,                0.97886,                0.98409,                0.98931,                0.86486,                0.49694,                0.31517,                0.87325,                0.00406,                0.00406,                0.00406
                     62,                0.48016,                 0.3344,                0.86609,                0.98261,                0.98139,                 0.9907,                0.86042,                0.48673,                0.31238,                0.87013,               0.003961,               0.003961,               0.003961
                     63,                0.47831,                0.33141,                0.87129,                0.97884,                0.98456,                0.99128,                0.86267,                0.47796,                0.30754,                0.86654,               0.003862,               0.003862,               0.003862
                     64,                0.46781,                0.32251,                0.86473,                0.98378,                0.98327,                0.99072,                0.86896,                0.47881,                0.31161,                0.86296,               0.003763,               0.003763,               0.003763
                     65,                0.47733,                0.33181,                0.87277,                0.97387,                0.98545,                0.99042,                0.86962,                0.49247,                0.30738,                0.86876,               0.003664,               0.003664,               0.003664
                     66,                0.45723,                0.32063,                0.86395,                0.98328,                 0.9857,                0.99242,                0.86664,                0.50465,                0.30874,                0.87173,               0.003565,               0.003565,               0.003565
                     67,                0.46231,                0.33003,                0.86661,                0.97841,                 0.9903,                0.99349,                0.87535,                0.48574,                0.29118,                0.87026,               0.003466,               0.003466,               0.003466
                     68,                0.45115,                0.31346,                0.86653,                0.97485,                0.98937,                0.99169,                0.86262,                0.47727,                0.30144,                0.86931,               0.003367,               0.003367,               0.003367
                     69,                0.46043,                0.31849,                0.86123,                0.98058,                0.98788,                0.99218,                0.86451,                0.49926,                0.31102,                0.86849,               0.003268,               0.003268,               0.003268
                     70,                0.45131,                 0.3154,                0.86844,                0.97365,                0.99216,                0.99338,                 0.8715,                0.48483,                  0.307,                0.86566,               0.003169,               0.003169,               0.003169
                     71,                0.46582,                0.31529,                0.86694,                0.98279,                 0.9897,                0.99155,                 0.8703,                0.48458,                0.29618,                 0.8681,                0.00307,                0.00307,                0.00307
                     72,                0.46542,                0.31394,                0.86443,                0.98055,                0.98268,                0.99101,                0.87149,                0.49194,                0.30869,                0.87015,               0.002971,               0.002971,               0.002971
                     73,                0.44263,                0.30614,                0.85711,                0.98264,                0.98645,                0.98992,                0.86634,                0.48972,                0.30207,                0.86972,               0.002872,               0.002872,               0.002872
                     74,                0.45257,                0.30628,                0.86266,                0.97733,                0.98909,                0.99116,                0.86681,                0.48309,                0.29285,                0.86677,               0.002773,               0.002773,               0.002773
                     75,                0.44655,                0.30351,                 0.8604,                0.98012,                0.98706,                0.99142,                0.87966,                 0.4745,                0.28566,                0.86209,               0.002674,               0.002674,               0.002674
                     76,                0.43494,                0.30298,                0.85413,                0.98107,                0.98159,                0.99251,                0.86925,                0.48401,                0.31186,                0.86805,               0.002575,               0.002575,               0.002575
                     77,                0.43238,                0.30339,                0.85678,                0.98103,                0.98637,                 0.9927,                0.87312,                0.48141,                0.29071,                0.86558,               0.002476,               0.002476,               0.002476
                     78,                0.43356,                0.30137,                0.85357,                 0.9825,                0.98426,                0.99257,                0.87926,                0.47635,                0.28642,                0.86549,               0.002377,               0.002377,               0.002377
                     79,                0.42745,                0.29316,                 0.8558,                0.97989,                0.98615,                0.99267,                0.87886,                0.47864,                0.28799,                0.86892,               0.002278,               0.002278,               0.002278
