                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.2854,                 1.1797,                0.87532,                0.98133,                0.89273,                0.91103,                0.90164,                0.53831,                0.87145,                0.89324,                0.86624,                0.47529,                 1.1572,                 1.2274,                 0.8064,                 1.0223,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.3048,                 1.2104,                0.89668,                0.97798,                0.85105,                0.89466,                0.90062,                0.54518,                0.82063,                 0.8629,                0.85524,                0.44199,                 1.0462,                 1.0712,                0.86149,                0.98551,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.2727,                  1.157,                0.86636,                0.97209,                0.84205,                0.87544,                0.87374,                0.59649,                0.83275,                0.85765,                0.84721,                0.47631,                0.94813,                 1.1369,                 0.7906,                 1.0118,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.2126,                 1.1729,                0.83137,                 0.9678,                 0.8534,                0.91154,                0.88993,                0.54522,                0.85411,                0.90391,                0.88895,                0.49583,                  1.003,                 1.1494,                0.80416,                0.99993,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.2862,                 1.1854,                0.85563,                0.98792,                0.89944,                0.90036,                0.90897,                0.58476,                0.87261,                0.88256,                0.85948,                0.46957,                 1.0809,                 1.2383,                0.73108,                 1.0015,              0.0094456,              0.0094456,              0.0094456
                     58,                  1.271,                 1.2377,                0.85942,                0.97792,                0.92828,                0.91103,                 0.9246,                0.61375,                0.90389,                0.88612,                0.87361,                0.44948,                0.99078,                 1.1195,                0.73224,                 1.0233,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.2759,                 1.1701,                0.86232,                0.98003,                0.92627,                0.89411,                0.92721,                0.54309,                0.88217,                0.84342,                0.85351,                0.37099,                 1.1204,                 1.4162,                0.84315,                0.98208,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.2302,                 1.1532,                0.83659,                0.97142,                0.91165,                0.91459,                0.91543,                0.60204,                0.86645,                  0.879,                 0.8447,                0.40416,                0.96378,                 1.3435,                0.76734,                 0.9826,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.2265,                 1.1744,                0.82551,                0.96211,                0.91145,                0.91571,                0.92545,                0.60259,                0.87957,                0.88368,                0.86772,                0.40427,                0.98783,                  1.424,                0.74992,                 1.0003,               0.009406,               0.009406,               0.009406
                     62,                 1.2446,                 1.1266,                0.82772,                0.95972,                0.90894,                0.92363,                0.91881,                0.62061,                0.88793,                0.90228,                0.87755,                0.48049,                 0.9346,                 1.3095,                0.71037,                 1.0027,              0.0093961,              0.0093961,              0.0093961
                     63,                 1.2588,                 1.1588,                0.83924,                0.96389,                0.91424,                0.91055,                0.91644,                0.63136,                0.88541,                 0.8799,                0.87653,                 0.4756,                0.90781,                 1.1992,                0.72129,                 1.0026,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.2406,                 1.1524,                 0.8375,                0.95947,                 0.9243,                0.90747,                0.93392,                0.65245,                0.91347,                0.90165,                0.90093,                0.52288,                0.88044,                 1.0832,                0.69621,                 0.9751,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.2845,                 1.1557,                0.86071,                0.95226,                0.92855,                0.92499,                0.91566,                0.58748,                0.92141,                0.91787,                0.91159,                0.52578,                0.95038,                 1.0266,                0.75179,                  1.016,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.2336,                 1.1355,                0.84392,                0.96482,                0.90585,                0.92448,                0.91385,                0.63978,                0.88431,                0.87544,                0.86641,                0.46417,                0.84678,                 1.1295,                0.68456,                0.99247,              0.0093565,              0.0093565,              0.0093565
                     67,                  1.212,                 1.1429,                0.83164,                0.95545,                0.87718,                0.91497,                0.89426,                0.59603,                0.86166,                0.89324,                0.87259,                0.48375,                0.94275,                 1.0654,                 0.7454,                 1.0073,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.2272,                 1.1182,                0.82192,                0.95472,                0.91206,                0.90036,                0.91071,                0.60703,                0.88975,                0.86833,                0.88036,                0.50207,                 1.0213,                 1.0959,                0.70072,                 1.0221,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.1934,                 1.1298,                0.79492,                0.94835,                0.88432,                0.89775,                0.89667,                 0.5578,                0.87406,                0.86445,                0.87502,                0.46352,                 1.1084,                 1.2256,                0.75692,                0.99478,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.2165,                 1.1756,                0.79737,                0.95017,                0.89308,                0.92171,                0.90677,                0.60493,                0.88273,                0.91103,                0.88172,                0.48537,                0.93788,                  1.139,                0.73066,                 1.0287,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.1991,                 1.1156,                0.78712,                0.94836,                 0.8978,                0.88612,                0.89886,                0.62209,                0.87766,                0.86833,                 0.8639,                0.43611,                0.95671,                 1.2874,                0.75723,                 1.1362,               0.009307,               0.009307,               0.009307
                     72,                 1.1874,                 1.1438,                0.80353,                0.95055,                0.86641,                0.92318,                0.90236,                0.60943,                0.85047,                0.92171,                0.88141,                0.45342,                0.99783,                 1.2453,                0.75242,                 1.1533,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.1927,                 1.1641,                0.79489,                0.95192,                0.90103,                0.93594,                0.91906,                 0.5898,                0.86686,                0.90366,                0.87915,                0.43886,                  1.033,                 1.3982,                0.70415,                 1.0292,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.2054,                 1.1842,                0.79676,                0.96335,                0.90873,                0.92527,                0.90291,                0.61608,                0.90174,                0.91815,                0.88544,                0.52121,                0.93573,                 1.0948,                0.68989,                 1.0168,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.1919,                 1.1216,                0.78217,                0.94909,                0.92574,                0.91103,                0.91297,                 0.6076,                0.90262,                0.88256,                 0.8714,                0.45281,                0.96964,                 1.2052,                0.69982,                 1.0247,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.2012,                 1.1572,                0.80187,                0.94508,                0.92539,                0.92693,                0.90937,                0.60115,                0.88396,                0.88256,                0.86827,                0.48113,                 1.0383,                 1.2179,                0.69474,                0.98208,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.1909,                 1.1634,                0.78209,                 0.9486,                0.91321,                0.93612,                0.90764,                0.62508,                0.89418,                 0.9395,                0.90911,                0.50682,                0.86502,                   1.15,                0.62545,                0.99782,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.2001,                 1.1268,                0.78907,                0.94957,                 0.8564,                0.93384,                0.89667,                0.58618,                0.84014,                0.91644,                0.87662,                0.44784,                0.94597,                 1.1791,                0.66213,                0.99432,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.1948,                 1.0954,                0.80491,                0.93321,                 0.8852,                0.90553,                0.91546,                0.62779,                0.87162,                  0.879,                0.88471,                0.46502,                0.92963,                 1.1155,                0.66308,                 1.0411,              0.0092278,              0.0092278,              0.0092278
                     80,                  1.157,                 1.0988,                0.75676,                0.94892,                0.91459,                0.95269,                0.92494,                0.61966,                0.89747,                0.93454,                0.90637,                0.49891,                0.93635,                 1.1515,                0.64438,                0.99927,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.1609,                 1.1232,                0.75912,                0.94056,                0.91052,                0.90532,                 0.9108,                0.62599,                  0.909,                0.88875,                0.88807,                0.49928,                0.85569,                 1.1505,                0.64295,                0.97979,               0.009208,               0.009208,               0.009208
                     82,                 1.1934,                 1.1257,                  0.764,                 0.9371,                0.88316,                0.92171,                0.90335,                0.61879,                0.86234,                0.90036,                  0.866,                0.43483,                 1.0616,                  1.182,                0.69746,                0.98455,              0.0091981,              0.0091981,              0.0091981
